Duration (in seconds),RecordedDate,ResponseId,Q_sandwich_1,Q_sandwich_2,Q_sandwich_3,Q_sandwich_4,Q_sandwich_5,Q_sandwich_1_labeled,Q_sandwich_2_labeled,Q_sandwich_3_labeled,Q_sandwich_4_labeled,Q_sandwich_5_labeled,Q_current_hunger,Q_priorities_1,Q_priorities_2,Q_priorities_3,Q_priorities_4,Q_priorities_5,Q_special_diet,Q_special_diet_6_TEXT,Q_past_vegetarian,Q_past_vegan,Q_vegetarian_not_me,Q_vegan_not_me,Q_good_for_env,Q_how_important_env,Q_politics,Q_US_state,Q_live_urban,Q_work_urban,Q_work_urban_3_TEXT,Q_demos_age,Q_demos_gender,Q_demos_income,Q_demos_race,Q_comments,STUDY_ID,treatment
123,2022-06-28 09:32:52,R_125SdSXI0xLI29S,,,,,,0,0,1,1,1,3,4,5,1,2,3,7,,7,7,4,4,2,4,3,22,2,1,,4,1,6,1,,62bb1ba7f2c710e36fd2c1be,labeled
231,2022-06-28 09:34:23,R_23V4Eyckqxl6Bmy,0,0,0,1,0,,,,,,2,2,3,1,5,4,7,,4,6,3,3,2,4,3,22,2,2,,7,1,5,1,"I do not lean toward either party. I am a libertarian. Unfortunately, your survey doesn't treat libertarians as if they exist at all.",62bb1ba7f2c710e36fd2c1be,unlabeled
239,2022-06-28 09:35:35,R_2c5wLF9HxTeZ30h,,,,,,0,0,0,0,0,2,2,3,1,4,5,7,,3,3,4,4,1,5,1,20,1,2,,5,2,2,1,"None, but thank you!",62bb1ba7f2c710e36fd2c1bf,labeled
80,2022-06-28 09:36:13,R_2B97XuOwuxSeQWA,0,0,1,1,0,,,,,,1,3,1,2,4,5,7,,3,3,3,3,3,1,4,17,2,2,,4,1,2,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
134,2022-06-28 09:37:47,R_2BrfiuSgy1SNVbL,,,,,,1,1,1,0,0,1,5,4,1,2,3,2,,2,7,5,5,1,5,3,39,3,2,,3,1,4,2,,62bb1ba7f2c710e36fd2c1be,labeled
211,2022-06-28 09:38:16,R_1DBZC4pjzVDsgT6,0,0,0,0,1,,,,,,2,3,4,1,5,2,7,,4,7,2,2,1,4,3,20,2,2,,5,1,5,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
167,2022-06-28 09:39:05,R_ab2JDtSVCDZPzQ5,,,,,,0,0,0,0,0,3,5,2,1,4,3,7,,3,5,3,3,3,4,3,30,3,2,,3,1,2,1,,62bb1ba7f2c710e36fd2c1be,labeled
91,2022-06-28 09:40:11,R_3n9q76AAz02WGdM,,,,,,0,0,0,0,0,3,4,5,1,3,2,7,,7,7,4,4,3,3,2,41,2,2,,3,1,4,1,,62bb1ba7f2c710e36fd2c1be,labeled
228,2022-06-28 09:41:07,R_2SdGAfdbJx8Aq5C,0,0,0,1,1,,,,,,2,1,5,2,4,3,7,,7,7,4,2,3,4,4,20,2,2,,5,1,4,1,,62bb1ba7f2c710e36fd2c1be,unlabeled
194,2022-06-28 09:42:26,R_WCLrlRwRPRa5O6J,,,,,,0,0,0,0,1,2,4,1,3,5,2,7,,4,6,3,2,2,5,3,22,2,2,,3,1,7,1,,62bb1ba7f2c710e36fd2c1be,labeled
